151;Centro de Salud de Alegia;Bideberrieta, 17-Y, 20260 Alegia (Gipuzkoa);20260;Alegia;08:00 - 20:00;Centro de Salud;943653212
152;Centro de Salud de Basauri-Urbi (Centro Penitenciario);Lehendakari Aguirre, 92, 48970 Basauri (Bizkaia);48970;Basauri;08:00 - 20:00;Centro de Salud;944408360
153;Dirección General;Álava, 45, 01006 Vitoria-Gasteiz (Álava);01006;Vitoria-Gasteiz;08:00 - 15:00;Otros;945006000
154;PAC;Bidebarrieta, 12, 48930 Getxo (Bizkaia);48930;Getxo;24 horas;PAC;946007170
155;Centro de Salud Mental de Ajuriaguerra;Fika, 22, 48006 Bilbao (Bizkaia);48006;Bilbao;08:00 - 15:00;Centro de Salud Mental;944007700
156;Centro de Salud Mental de Barakaldo -2;Iparragirre, 9, 48901 Barakaldo (Bizkaia);48901;Barakaldo;08:00 - 15:00;Centro de Salud Mental;944185310
157;Centro de Salud Mental de Infancia y Adolescencia de Bilbao;Nicolas Alcorta, 2, 48003 Bilbao (Bizkaia);48003;Bilbao;08:00 - 15:00;Centro de Salud Mental;944230047
158;Centro de Salud Mental de Infancia y Adolescencia de Uribe;Alangobarri, 7, 48990 Getxo (Bizkaia);48990;Getxo;08:00 - 15:00;Centro de Salud Mental;944910322
159;PAC DE BERMEO;Tonpoi Bidea, 0-A, 48370 Bermeo (Bizkaia);48370;Bermeo;24 horas;PAC;946029050
160;Centro de Salud Mental de Irun;Virgen Milagrosa, 1, 20303 Irun (Gipuzkoa);20303;Irun;08:00 - 15:00;Centro de Salud Mental;943638380
161;Centro de Salud Mental de Galdakao;Bizkai, 42-A, 48960 Galdakao (Bizkaia);48960;Galdakao;08:00 - 15:00;Centro de Salud Mental;946007433
162;Ambulatorio de Basauri-Ariz;Kale Nagusia, 21, 48970 Basauri (Bizkaia);48970;Basauri;08:00 - 20:00;Centro de Salud;
163;Ambulatorio de Irun Centro;Avenida Gipuzkoa, 15, 20302 Irun (Gipuzkoa);20302;Irun;08:00 - 20:00;Centro de Salud;
164;Centro de Salud de Mamariga;Virgen del Mar, 1, 48980 Santurtzi (Bizkaia);48980;Santurtzi;08:00 - 20:00;Centro de Salud;946007680
165;Consultorio de Elexalde;Barrio Elejalde, 16, 48480 Zaratamo (Bizkaia);48480;Zaratamo;09:00 - 13:00;Consultorio;
166;Consultorio de Lizartza;Barrio Plaza Soro, 1, 20490 Lizartza (Gipuzkoa);20490;Lizartza;09:00 - 13:00;Consultorio;
167;Hospital de Día de Zumarraga;Hiri Lorategia, 20, 20700 Zumarraga (Gipuzkoa);20700;Zumarraga;24 horas;Hospital de Día;943721563
168;Ambulatorio de Zarautz;Salbide, 10, 20800 Zarautz (Gipuzkoa);20800;Zarautz;08:00 - 20:00;Ambulatorio;
169;Centro de Salud de Alde Zaharra;Aldamar, s/n - Edificio Pescadería, 20003 Donostia / San Sebastián (Gipuzkoa);20003;Donostia / San Sebastián;08:00 - 20:00;Centro de Salud;
170;Centro de Salud de San Ignacio;Larrakotorre, 9, 48015 Bilbao (Bizkaia);48015;Bilbao;08:00 - 20:00;Centro de Salud;
171;Centro de Salud de Villabona;Erniobea, 0-A, 20150 Villabona (Gipuzkoa);20150;Villabona;08:00 - 20:00;Centro de Salud;943006970
172;PAC DE BALMASEDA;Avenida Encartaciones, 9-A, 48800 Balmaseda (Bizkaia);48800;Balmaseda;24 horas;PAC;946102325
173;Centro de Salud de Espejo;Carretera Bilbao, 61, 01423 Valdegovía/Gaubea (Álava);01423;Valdegovía/Gaubea;08:00 - 20:00;Centro de Salud;945351011
174;Consultorio de Elgeta;Plaza Mendizaleen plaza, 3, 20690 Elgeta (Gipuzkoa);20690;Elgeta;09:00 - 13:00;Consultorio;943789027
175;Centro de Salud de San Martín;Pintor Teodoro Dublang, 23, 01008 Vitoria-Gasteiz (Álava);01008;Vitoria-Gasteiz;08:00 - 20:00;Centro de Salud;
176;Centro de Salud Mental de Zaballa (Centro Penitenciario);Portillo de San Miguel, 1, 01230 Iruña Oka/Iruña de Oca (Álava);01230;Iruña Oka/Iruña de Oca;08:00 - 15:00;Centro de Salud Mental;945207996
177;Centro de Salud de Amorebieta-Etxano;San Miguel, 17, 48340 Amorebieta-Etxano (Bizkaia);48340;Amorebieta-Etxano;08:00 - 20:00;Centro de Salud;
178;Hospital de Día de Las Arenas;Paulino Mendivil, 3, 48930 Getxo (Bizkaia);48930;Getxo;24 horas;Hospital de Día;944315896
179;Consultorio de Kontrasta;San Salvador, 1, 01117 Harana/Valle de Arana (Álava);01117;Harana/Valle de Arana;09:00 - 13:00;Consultorio;945415345
